"Id","Response"
9,6
12,7
197,5
287,6
323,4
356,7
369,5
433,7
441,8
771,4
919,7
992,5
1137,7
1145,8
1237,6
1305,7
1441,7
1547,6
1585,7
1639,6
1661,7
1712,8
1766,6
1939,7
2224,7
2267,5
2287,7
2309,5
2347,7
2420,7
2748,5
2821,7
2853,7
2967,7
3109,6
3154,7
3483,8
3547,3
3597,7
3608,7
3647,4
3706,7
3773,7
3837,6
3883,7
3923,6
4046,7
4086,7
4197,7
4206,4
4263,7
4271,4
4732,6
5029,3
5039,7
5126,8
5312,8
5316,6
5371,7
5398,7
5400,7
5402,7
5482,6
5633,3
5951,7
5960,7
6009,4
6034,3
6091,7
6111,3
6142,3
6144,4
6312,8
6343,8
6384,3
6401,4
6499,6
6524,7
6685,4
6746,7
6833,4
6853,5
6960,8
6983,3
7027,2
7162,8
7246,7
7345,7
7567,7
7643,8
7692,6
7714,3
7721,8
7826,6
8219,7
8307,3
8320,7
8437,8
8569,6
8585,7
8587,4
8612,5
8719,3
8928,6
8934,8
9080,8
9084,7
9123,6
9163,5
9227,7
9421,6
9607,7
9771,7
9810,6
10070,3
10092,8
10136,7
10232,6
10289,6
10360,6
10391,8
10447,6
10467,8
10517,5
10669,7
10726,7
10788,6
10833,5
10849,7
11146,6
11188,6
11224,7
11301,7
11317,4
11433,3
11439,6
11518,2
11572,7
11939,8
11941,4
11960,7
11978,7
11992,4
12017,7
12062,7
12204,8
12261,7
12483,7
12895,8
13036,6
13140,7
13273,8
13427,4
13480,7
13522,4
13589,7
13649,8
13652,7
13720,6
13990,7
14052,7
14076,5
14090,7
14125,4
14211,7
14277,4
14474,8
14525,5
14579,3
14755,7
14863,4
14972,7
15171,2
15187,6
15254,7
15657,7
15666,7
15763,6
15882,3
16008,6
16186,6
16205,7
16277,7
16284,6
16304,7
16363,7
16390,5
16433,6
16923,7
16978,7
17193,7
17258,8
17262,6
17281,6
17456,7
17493,6
17753,8
17918,3
18013,3
18311,6
18351,6
18378,6
18460,8
18473,4
18643,4
18901,5
19050,8
19074,7
19213,8
19546,2
19556,7
19567,7
19591,6
19655,8
19658,8
19866,7
19909,2
19910,5
19956,7
20187,5
20224,7
20237,4
20300,3
20477,7
20507,6
20522,5
20646,5
20751,8
21011,7
21094,7
21141,7
21287,7
21354,8
21480,3
21506,3
21722,7
21752,8
21881,7
22029,2
22040,7
22115,7
22128,7
22163,4
22223,7
22292,7
22348,6
22358,6
22744,6
23234,5
23252,7
23330,7
23448,5
23462,3
23601,6
23607,4
23628,3
23973,7
24164,6
24204,5
24214,2
24253,5
24265,7
24286,4
24310,7
24370,5
24420,6
24560,7
24595,7
24604,7
24673,8
24786,7
24899,8
24901,7
24914,6
25451,8
25471,7
25498,7
25512,7
25608,7
25677,6
25707,6
25733,6
25757,5
25775,7
25857,7
25926,6
25986,7
26063,6
26167,6
26240,4
26258,7
26405,7
26465,6
26642,6
26656,7
26685,5
26796,7
26876,7
26942,7
26964,3
27072,8
27089,7
27111,6
27506,5
27597,7
27634,7
27712,7
27788,7
27847,6
28009,6
28164,6
28286,8
28669,7
28752,6
28761,7
28765,6
28786,5
29004,5
29028,5
29152,7
29232,8
29301,4
29395,3
29720,5
29727,7
29742,4
29749,5
29757,3
29811,5
29830,8
29886,7
29919,2
30152,5
30284,7
30294,8
30304,7
30337,7
30340,7
30345,7
30614,6
30630,7
30805,8
31009,4
31030,5
31067,7
31077,6
31139,6
31172,8
31207,8
31399,6
31434,8
31531,3
31730,4
31876,8
31938,4
31994,4
32151,8
32190,8
32472,5
32598,6
32702,4
32958,3
33298,8
33445,7
33529,6
33632,7
33864,6
33870,7
34038,6
34262,7
34340,8
34409,8
34549,5
34578,4
34687,7
34722,3
34733,7
34773,6
34814,7
35043,6
35101,7
35111,7
35176,7
35182,6
35191,6
35241,8
35272,7
35347,3
35582,4
36029,7
36174,5
36269,3
36447,5
36745,6
36956,6
37045,7
37050,7
37055,7
37112,6
37165,7
37373,8
37378,7
37392,7
37417,4
37480,5
37733,7
37738,7
37746,7
37782,6
37830,6
37892,6
37976,5
38018,5
38154,8
38356,6
38503,5
38637,8
38750,6
38978,7
39087,3
39115,4
39208,6
39293,6
39316,7
39339,8
39406,4
39429,5
39464,7
39693,4
39907,7
39944,5
39967,8
40042,7
40211,5
40212,7
40262,7
40282,7
40320,5
40368,2
40413,7
40548,8
40630,4
40735,7
40745,7
40864,7
41008,6
41029,8
41053,7
41120,2
41169,6
41302,7
41396,6
41531,7
41676,7
41716,7
41735,5
41753,5
42071,5
42084,7
42121,6
42170,7
42206,6
42302,7
42322,4
42756,7
42918,6
42964,3
43048,6
43155,3
43309,5
43350,4
43431,6
43444,6
43665,6
43786,7
43825,7
44188,7
44236,2
44494,4
44499,7
44569,7
44592,8
44626,7
44667,2
44769,7
44839,7
44840,7
44844,6
45071,3
45301,4
45345,8
45464,4
45496,4
45747,6
45880,7
45890,7
45910,8
46110,7
46295,3
46343,5
46436,8
46517,7
46663,6
46683,8
46809,6
46830,3
46974,6
46982,3
47231,8
47250,4
47286,7
47304,7
47310,6
47315,7
47395,8
47402,5
47414,7
47531,7
47560,7
47611,4
47828,8
47969,6
48082,3
48296,8
48360,7
48420,5
48425,8
48480,7
48491,1
48549,6
48719,8
48759,3
48801,5
49011,7
49036,6
49131,4
49170,7
49277,4
49293,8
49313,7
49317,8
49360,7
49432,7
49577,6
49635,7
49664,3
49993,7
50079,8
50128,7
50239,7
50325,7
50460,2
50461,5
50532,8
50681,6
50700,4
50713,7
50809,6
51336,7
51396,5
51398,8
51507,6
51523,6
51569,4
51688,7
51717,4
51865,7
51884,6
51943,7
52054,7
52182,5
52225,8
52272,8
52547,7
52589,7
52634,3
52713,5
52734,7
52806,6
52839,6
52889,8
53253,7
53387,8
53420,7
53436,7
53546,7
53660,7
53860,8
54146,8
54205,3
54235,5
54291,8
54411,7
54560,7
54619,7
54878,7
54890,4
54970,8
54989,5
55144,8
55158,6
55275,7
55287,7
55499,6
55747,8
55776,6
55880,5
56003,8
56186,8
56224,3
56262,6
56300,6
56330,8
56442,6
56620,3
56627,4
56639,8
56735,8
57007,5
57018,7
57069,8
57118,7
57345,8
57450,8
57552,8
57681,8
57699,7
57889,4
58064,7
58194,6
58200,7
58203,5
58302,5
58307,7
58313,8
58316,8
58450,7
58549,7
58551,8
58672,1
58892,4
59112,6
59122,7
59127,6
59147,6
59446,5
59459,5
59570,6
59587,8
59708,4
59846,6
59973,5
60016,5
60024,7
60112,7
60263,5
60270,6
60322,5
60368,8
60960,7
61028,4
61050,7
61051,8
61244,7
61349,7
61436,3
61570,7
61614,8
61676,5
61757,4
61765,5
61775,8
61833,7
61852,7
61945,5
62004,7
62113,7
62125,6
62162,4
62233,8
62368,8
62440,3
62461,7
62507,8
62539,3
62544,7
62551,5
62576,7
62719,6
62846,7
62947,4
62976,7
63063,5
63066,8
63235,7
63275,7
63413,8
63491,8
63502,6
63590,8
63595,7
63674,7
63714,5
64042,7
64276,7
64312,4
64514,8
64564,7
64627,5
65086,8
65151,7
65177,6
65411,7
65456,7
65481,8
65509,3
65725,8
65807,4
66086,5
66198,2
66360,6
66451,6
66705,8
66815,5
66969,7
66973,7
66986,7
67011,8
67053,6
67223,7
67329,6
67332,7
67380,7
67387,3
67404,8
67572,7
67601,7
67714,7
67778,7
67824,6
67838,5
67941,5
68033,7
68074,6
68524,5
68646,3
68657,7
68723,8
68820,7
68839,5
68852,6
68867,7
69095,4
